listing_id,listing_name,country,city,listing_type,room_type,currency,guests,bedrooms,cancellation_policy,rating_overall,ttm_revenue,ttm_avg_rate
36285087,371 L2 R4 Master bedroom w private toilet,singapore,singapore,Private room in rental unit,private_room,SGD,,,Moderate,4.76,2435.0,47.6
36989732,Many Guests Loved it Here,singapore,singapore,Private room in condo,private_room,SGD,,,Firm,5.0,1997.0,41.7
37111118,Affordable Comfortable Rm! 10 Mins to MRT! (D),singapore,singapore,Private room in home,private_room,SGD,,,Strict,4.5,2066.0,46.2
37605217,"Lavender Queenbed, 4min lavender MRT, 2min  Bugis",singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,403.0,34.1
37905248,"lavLoftbed *RmKc, no-sharing, wifi, mrt",singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,397.0,33.8
37916346,Habyt Cantonment - The Extra Large,singapore,singapore,Room in aparthotel,private_room,SGD,2.0,1.0,Strict,4.54,17151.0,202.6
37999599,Habyt Cantonment - The Medium,singapore,singapore,Room in aparthotel,private_room,SGD,2.0,1.0,Firm,4.7,10656.0,134.7
38026889,Prime Central Studio Apartment - Minutes to Bugis,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Strict,4.81,25577.0,210.8
38134989,Habyt Cantonment - The Small,singapore,singapore,Room in aparthotel,private_room,SGD,2.0,1.0,Firm,4.68,6955.0,123.8
38136195,SG WFH Quiet Studio Apartment | Bras Basah MRT,singapore,singapore,Private room in serviced apartment,private_room,SGD,2.0,1.0,Strict,4.8,2624.0,200.0
38388737,【REST】Bugis/ Single Room no window-POOL,singapore,singapore,Room in hotel,private_room,SGD,1.0,1.0,Firm,4.72,44330.0,193.5
38914093,[BUGIS] Cinematic Superior Twin Room- no window,singapore,singapore,Room in hotel,hotel_room,SGD,2.0,1.0,Strict,4.44,21012.0,162.9
38916143,Bugis Cinematic Superior Twin Room,singapore,singapore,Room in hotel,hotel_room,SGD,2.0,1.0,Strict,4.44,33096.0,190.2
38935611,1960s singlebed Rm2 @ lavender bugis.,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,5.0,451.0,32.8
38939902,[BUGIS] Cinematic Sup Queen without window/POOL,singapore,singapore,Room in hotel,hotel_room,SGD,2.0,1.0,Strict,4.23,7248.0,211.3
